name,price,state
NOWY SAMSUNG I9082 GRAND DUOS BLUE GW 24-M DOST. 0,1109.0,new
NOWY SAMSUNG I9082 GRAND DUOS WH GW 24-M DOST. 0,1109.0,new
NOWY SAMSUNG I9300 GALAXY S III BLUE GW 24 DOST. 0,1403.0,new
NOWY SAMSUNG I9300 GALAXY S III LF GW 24 DOST. 0,1455.0,new
"NOWY SAMSUNG E1180, BEZ LOCKA,PL MENU NAJTANIEJ!!!",77.0,new
10 KOL. - MOTOROLA RAZR V3 PEŁNY KOMPLET / GW W PL,139.0,new
NOWY SONY XPERIA TIPO BL GWAR. 2 LATA DOSTAWA 0,405.0,new
NOWY SONY XPERIA TIPO RED GWAR. 2 LATA DOSTAWA 0,408.0,new
NOWY SONY XPERIA TIPO BLUE GWAR. 2 LATA DOSTAWA 0,408.0,new
"Star I9500 galaxy S4 Quad core 5""1280x720 GPS",739.0,new
NOWY SONY XPERIA Z PURPLE GWAR. 2 LATA DOSTAWA 0,1806.0,new
NOWY SONY XPERIA Z WHITE GWAR. 2 LATA DOSTAWA 0,1748.0,new
NOWY SONY XPERIA E KOLORY!!*GW24* C.H. M1 WA-WA!!!,499.0,new
XPERIA L C2105 POLSKA DYSTRYBUCJA Fv-23% 3 KOLORY,895.0,new
NOWA LUMIA 920 *KOLORY*GW24*B/S* C.H.M1 WA-WA!!,1299.0,new
Nokia Lumia 900 Czarna,999.0,new
NOKIA 301 BLACK & WHITE DUAL SIM FV-23% GW 24,299.0,new
NOWY SONY XPERIA S*SREBRNY*GW24* C.H. M1 WA-WA!!!,1019.0,new
NOWY LG L7 * BLACK * B/S* GW24 *  C.H.M1 WA-WA!!,649.0,new
XPERIA TIPO DUAL *SILVER*GW24* C.H. M1 WA-WA!!,499.0,new
TELME F210 Telefon z KLAPKA dla SENIORa KOLORY!!,230.0,new
SAMSUNG S7562 DUOS POLSKA DYSTRYBUCJA FV-23% GW-24,619.0,new
PODSŁUCH TELEFONU GSM NOKIA C5 SPYPHONE,3150.0,new
APPLE IPHONE 4S 16GB BLACK NOWE POL GW.FV23% HIT,1945.0,new
SAMSUNG ACE S5830 BLACK POL-DYSTRYB.FV-23% GW-24,499.0,new
"Samsung E1200 (Eider) Black, PL, FV23%",69.0,new
NEW! NOKIA LUMIA 925 16GB 3 KOLORY PL DYSTRYBUCJA,2125.0,new
Samsung S4 active  i9295 C.H. Wola Park  W-wa,1949.0,new
GALAXY ACE 2 SPYPHONE podsłuch telefonu GSM PL,3300.0,new
NOWY SAMSUNG ACE 2 La ' Fleur  GW 24M SKLEP,659.0,new
LG L7 P700 BEZ SIM GW 24MS KOMPLET Z PL CZARNY *,599.0,new
IPHONE 5 16GB BEZ SIM PL DYST TYLKO 2349zl CZARNY,2349.0,new
SONY XPERIA Z BEZ SIM GW 24MS NIEUŻYWANY CZARNY !!,1799.0,new
LG L7 P700 BEZ SIM GW 24MS KOMPLET Z PL BIAŁY *,599.0,new
NIEUŻYWANY SONY XPERIA SP BEZ SIM GW 24* CZARNY,1159.0,new
SONY XPERIA Z BEZ SIM GW 24MS KOMPLET BIAŁY PL *,1769.0,new
"NOKIA c2-02 PL MENU BEZ LOCKA,GW, FV 23%WYPRZ",215.0,new
